Name,URL,Author,Price,No. of Ratings,Rating
Pretty Mess,https://www.amazon.in/Pretty-Mess-Erika-Jayne/dp/1501181890?_encoding=UTF8&psc=1,Not Available,$17.70,38,2.8 out of 5 stars
Little Blue Truck's Springtime,https://www.amazon.in/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1,Alice Schertle,$9.74,72,3.7 out of 5 stars
"Finding Ultra, Revised and Updated Edition: Rejecting Middle Age, Becoming One of the World's Fittest Men, and Discovering  Myself",https://www.amazon.in/Finding-Ultra-Revised-Updated-Discovering/dp/0307952207?_encoding=UTF8&psc=1,Not Available,$7.67,857,4.5 out of 5 stars
Pete the Cat: Big Easter Adventure,https://www.amazon.in/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1,James Dean,$7.18,212,4.6 out of 5 stars
A Wrinkle in Time (Time Quintet),https://www.amazon.in/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1,Madeleine L'Engle,$2.71,"2,973",4.5 out of 5 stars
I've Loved You Since Forever,https://www.amazon.in/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1,Hoda Kotb,$12.67,58,4.6 out of 5 stars
Giraffes Can't Dance,https://www.amazon.in/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551?_encoding=UTF8&psc=1,Giles Andreae,$5.06,"3,819",4.7 out of 5 stars
The Wonderful Things You Will Be,https://www.amazon.in/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1,Emily Winfield Martin,$11.67,"1,440",4.8 out of 5 stars
Goodnight Moon,https://www.amazon.in/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1,Margaret Wise Brown,$5.93,"3,179",4.7 out of 5 stars
The Very Hungry Caterpillar,https://www.amazon.in/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1,Eric Carle,$6.61,"3,416",4.6 out of 5 stars
Wonder,https://www.amazon.in/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1,R. J. Palacio,$10.19,"12,567",4.9 out of 5 stars
"Happy Easter, Mouse! (If You Give...)",https://www.amazon.in/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1,Not Available,$5.63,281,4.5 out of 5 stars
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights),https://www.amazon.in/Berenstain-Bears-Easter-Story-Stickers/dp/0310720877?_encoding=UTF8&psc=1,Mike Berenstain,$4.01,344,4.6 out of 5 stars
"Happy Easter, Little Critter (Little Critter) (Look-Look)",https://www.amazon.in/Happy-Easter-Little-Critter-Look-Look/dp/0307117235?_encoding=UTF8&psc=1,Mercer Mayer,$3.78,103,4.5 out of 5 stars
Milk and Honey,https://www.amazon.in/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1,Rupi Kaur,$8.99,"5,343",4.6 out of 5 stars
Children of Blood and Bone (Legacy of Orisha),https://www.amazon.in/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1,Tomi Adeyemi,$11.39,167,4.8 out of 5 stars
Killing the Deep State: The Fight to Save President Trump,https://www.amazon.in/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1,Not Available,$17.99,256,4.9 out of 5 stars
Dear Zoo: A Lift-the-Flap Book,https://www.amazon.in/Dear-Zoo-Lift-Flap-Book/dp/141694737X?_encoding=UTF8&psc=1,Rod Campbell,$4.71,"2,555",4.8 out of 5 stars
Magnolia Table: A Collection of Recipes for Gathering,https://www.amazon.in/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1,Joanna Gaines,$17.99,Not Availble,Not Available
The Great Alone: A Novel,https://www.amazon.in/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1,Kristin Hannah,$17.39,"1,436",4.6 out of 5 stars
How to Win Friends & Influence People,https://www.amazon.in/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1,Dale Carnegie,$9.60,"8,043",4.7 out of 5 stars
The Whole30: The 30-Day Guide to Total Health and Food Freedom,https://www.amazon.in/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1,Melissa Hartwig,$18.00,"3,193",4.6 out of 5 stars
Big Preschool Workbook,https://www.amazon.in/Preschool-Workbook-School-Zone-Staff/dp/0887431453?_encoding=UTF8&psc=1,School Zone Staff,$7.49,698,4.7 out of 5 stars
The Triumph of Christianity: How a Forbidden Religion Swept the World,https://www.amazon.in/Triumph-Christianity-Forbidden-Religion-Swept/dp/1501136704?_encoding=UTF8&psc=1,Bart D. Ehrman,$19.04,29,4.2 out of 5 stars
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,https://www.amazon.in/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1,Amy Ramos,$8.84,686,4.2 out of 5 stars
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),https://www.amazon.in/Four-Agreements-Practical-Personal-Freedom/dp/1878424319?_encoding=UTF8&psc=1,Don Miguel Ruiz,$7.77,"6,923",4.6 out of 5 stars
Before We Were Yours: A Novel,https://www.amazon.in/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1,Lisa Wingate,$15.60,"5,841",4.7 out of 5 stars
"I've Been Thinking . . .: Reflections, Prayers, and Meditations for a Meaningful Life",https://www.amazon.in/Ive-Been-Thinking-Reflections-Meditations/dp/0525522603?_encoding=UTF8&psc=1,Maria Shriver,$11.99,152,4.9 out of 5 stars
Simon vs. the Homo Sapiens Agenda,https://www.amazon.in/Simon-vs-Homo-Sapiens-Agenda/dp/006234868X?_encoding=UTF8&psc=1,Becky Albertalli,$6.69,770,4.7 out of 5 stars
The Sun and Her Flowers,https://www.amazon.in/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1,Rupi Kaur,$10.19,662,4.6 out of 5 stars
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",https://www.amazon.in/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1,Not Available,$16.79,"1,246",4.5 out of 5 stars
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be",https://www.amazon.in/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1,Rachel Hollis,$13.04,"1,115",4.9 out of 5 stars
The Pout-Pout Fish,https://www.amazon.in/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1,Deborah Diesen,$5.79,"2,277",4.8 out of 5 stars
Count on the Easter Pups! (PAW Patrol),https://www.amazon.in/Count-Easter-Pups-PAW-Patrol/dp/1524768723?_encoding=UTF8&psc=1,Random House,$6.28,4,5.0 out of 5 stars
Love You Forever,https://www.amazon.in/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1,Robert Munsch,$4.31,"6,362",4.8 out of 5 stars
"Brown Bear, Brown Bear, What Do You See?",https://www.amazon.in/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1,Not Available,$6.08,"2,675",4.8 out of 5 stars
Fancy Nancy and the Missing Easter Bunny,https://www.amazon.in/Fancy-Nancy-Missing-Easter-Bunny/dp/0062377922?_encoding=UTF8&psc=1,Not Available,$3.91,17,4.3 out of 5 stars
Educated: A Memoir,https://www.amazon.in/Educated-Memoir-Tara-Westover/dp/0399590501?_encoding=UTF8&psc=1,Tara Westover,$16.80,411,4.7 out of 5 stars
In the Shadow of Statues: A White Southerner Confronts History,https://www.amazon.in/Shadow-Statues-Southerner-Confronts-History/dp/0525559442?_encoding=UTF8&psc=1,Not Available,$17.48,21,3.2 out of 5 stars
Baby Touch and Feel: Animals,https://www.amazon.in/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1,DK,$4.19,"1,618",4.5 out of 5 stars
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",https://www.amazon.in/Enlightenment-Now-Science-Humanism-Progress/dp/0525427570?_encoding=UTF8&psc=1,Steven Pinker,$21.00,177,3.8 out of 5 stars
"Memory Rescue: Supercharge Your Brain, Reverse Memory Loss, and Remember What Matters Most",https://www.amazon.in/Memory-Rescue-Supercharge-Reverse-Remember/dp/149642560X?_encoding=UTF8&psc=1,Not Available,$17.10,45,4.3 out of 5 stars
Principles: Life and Work,https://www.amazon.in/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1,Ray Dalio,$18.00,447,4.5 out of 5 stars
It's Not Easy Being a Bunny (Beginner Books(R)),https://www.amazon.in/Easy-Being-Bunny-Beginner-Books/dp/0394861027?_encoding=UTF8&psc=1,Marilyn Sadler,$8.99,229,4.8 out of 5 stars
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,https://www.amazon.in/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1,Not Available,$6.40,152,4.5 out of 5 stars
StrengthsFinder 2.0,https://www.amazon.in/StrengthsFinder-2-0-Tom-Rath/dp/159562015X?_encoding=UTF8&psc=1,Tom Rath,$17.79,"3,417",4.0 out of 5 stars
